superiotool r4.14-92-g9ea62fe6de
Found ITE IT8728F (id=0x8728, rev=0x1) at 0x2e
Register dump:
idx   val    def
0x02: 0x00   (NA)
0x07: 0x10   (NA)
0x20: 0x87   (0x87)
0x21: 0x28   (0x28)
0x22: 0x01   (0x01)
0x23: 0xc0   (0x00)
0x24: 0x00   (0x00)
0x2b: 0x48   (MM)
0x2e: 0x00   (0x00)
0x2f: 0x00   (0x00)

LDN 0x00 (Floppy)
idx   val    def
0x30: 0x00   (0x00)
0x60: 0x00   (0x03)
0x61: 0x00   (0xf0)
0x70: 0x00   (0x06)
0x74: 0x04   (0x02)
0xf0: 0x00   (0x00)
0xf1: 0x80   (0x00)

LDN 0x01 (COM1)
idx   val    def
0x30: 0x01   (0x00)
0x60: 0x03   (0x03)
0x61: 0xf8   (0xf8)
0x70: 0x04   (0x04)
0xf0: 0x00   (0x00)
0xf1: 0x50   (0x50)

LDN 0x02 (COM2)
idx   val    def
0x30: 0x00   (0x00)
0x60: 0x00   (0x02)
0x61: 0x00   (0xf8)
0x70: 0x00   (0x03)
0xf0: 0x00   (0x00)
0xf1: 0x50   (0x50)

LDN 0x03 (Parallel port)
idx   val    def
0x30: 0x01   (0x00)
0x60: 0x03   (0x03)
0x61: 0x78   (0x78)
0x62: 0x00   (0x07)
0x63: 0x00   (0x78)
0x70: 0x07   (0x07)
0x74: 0x04   (0x03)
0xf0: 0x08   (0x03)

LDN 0x04 (Environment controller)
idx   val    def
0x30: 0x01   (0x00)
0x60: 0x02   (0x02)
0x61: 0x90   (0x90)
0x62: 0x00   (0x02)
0x63: 0x00   (0x30)
0x70: 0x00   (0x09)
0xf0: 0x18   (0x00)
0xf1: 0x00   (0x00)
0xf2: 0x0e   (0x00)
0xf3: 0x00   (0x00)
0xf4: 0x0a   (0x00)
0xf5: 0x03   (MM)
0xf6: 0xf1   (MM)
0xf9: 0x4a   (MM)
0xfa: 0x00   (MM)
0xfb: 0x00   (MM)

LDN 0x05 (Keyboard)
idx   val    def
0x30: 0x01   (0x01)
0x60: 0x00   (0x00)
0x61: 0x60   (0x60)
0x62: 0x00   (0x00)
0x63: 0x64   (0x64)
0x70: 0x01   (0x01)
0x71: 0x02   (0x02)
0xf0: 0x68   (0x48)

LDN 0x06 (Mouse)
idx   val    def
0x30: 0x00   (0x00)
0x70: 0x00   (0x0c)
0x71: 0x02   (0x02)
0xf0: 0x00   (0x00)

LDN 0x07 (GPIO)
idx   val    def
0x25: 0x10   (0x00)
0x26: 0xfb   (0xf3)
0x27: 0x10   (0x00)
0x28: 0x00   (0x00)
0x29: 0x00   (0x00)
0x2a: 0x10   (0x00)
0x2c: 0x01   (0x03)
0x2d: 0x00   (0x00)
0x60: 0x00   (0x00)
0x61: 0x00   (0x00)
0x62: 0x08   (0x00)
0x63: 0x00   (0x00)
0x64: 0x00   (0x00)
0x65: 0x00   (0x00)
0x70: 0x00   (0x00)
0x71: 0x00   (0x00)
0x72: 0x00   (0x20)
0x73: 0x00   (0x38)
0x74: 0x00   (0x00)
0xb0: 0x00   (0x00)
0xb1: 0x00   (0x00)
0xb2: 0x00   (0x00)
0xb3: 0x00   (0x00)
0xb4: 0x00   (0x00)
0xb8: 0x20   (0x20)
0xb9: 0x00   (0x00)
0xba: 0x00   (0x00)
0xbb: 0x00   (0x00)
0xbc: 0x00   (0x00)
0xbd: 0x00   (0x00)
0xc0: 0x11   (0x01)
0xc1: 0xfb   (0x00)
0xc2: 0x00   (0x00)
0xc3: 0x40   (0x40)
0xc4: 0x00   (0x00)
0xc8: 0x11   (0x01)
0xc9: 0x00   (0x00)
0xca: 0x00   (0x00)
0xcb: 0x00   (0x40)
0xcc: 0x00   (0x00)
